brand,moisture,coins
royale,low,16
royale,low,13
royale,low,15
royale,low,13
royale,low,15
royale,medium,13
royale,medium,14
royale,medium,11
royale,medium,13
royale,medium,14
royale,high,3
royale,high,13
royale,high,16
royale,high,3
royale,high,8
charmin,low,15
charmin,low,16
charmin,low,14
charmin,low,16
charmin,low,12
charmin,medium,16
charmin,medium,19
charmin,medium,11
charmin,medium,9
charmin,medium,14
charmin,high,10
charmin,high,8
charmin,high,6
charmin,high,8
charmin,high,7
cashmere,low,23
cashmere,low,24
cashmere,low,7
cashmere,low,20
cashmere,low,16
cashmere,medium,7
cashmere,medium,11
cashmere,medium,6
cashmere,medium,8
cashmere,medium,12
cashmere,high,12
cashmere,high,8
cashmere,high,9
cashmere,high,3
cashmere,high,2
kirkland,low,20
kirkland,low,21
kirkland,low,14
kirkland,low,23
kirkland,low,23
kirkland,medium,19
kirkland,medium,18
kirkland,medium,23
kirkland,medium,13
kirkland,medium,23
kirkland,high,19
kirkland,high,19
kirkland,high,16
kirkland,high,5
kirkland,high,9
cottonelle,low,14
cottonelle,low,15
cottonelle,low,10
cottonelle,low,11
cottonelle,low,12
cottonelle,medium,5
cottonelle,medium,13
cottonelle,medium,7
cottonelle,medium,10
cottonelle,medium,10
cottonelle,high,4
cottonelle,high,4
cottonelle,high,3
cottonelle,high,4
cottonelle,high,10
